symbol,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,final_portfolio_value,data_points
267250,0,0,0,0,0,0,138
267270,0,0,0,0,0,0,138
443060,0,0,0,0,0,0,138
071970,0,0,0,0,0,0,138
010620,0,0,0,0,0,0,138
322000,0,0,0,0,0,0,138
042670,0,0,0,0,0,0,138
267260,0,0,0,0,0,0,138
329180,0,0,0,0,0,0,138
097230,0,0,0,0,0,0,138
016610,0,0,0,0,0,0,138
000990,0,0,0,0,0,0,138
001530,0,0,0,0,0,0,138
000210,0,0,0,0,0,0,138
000215,0,0,0,0,0,0,138
375500,0,0,0,0,0,0,138
37550L,0,0,0,0,0,0,138
37550K,0,0,0,0,0,0,138
007340,0,0,0,0,0,0,138
004840,0,0,0,0,0,0,138
095570,0,0,0,0,0,0,138
006840,0,0,0,0,0,0,138
027410,0,0,0,0,0,0,138
282330,0,0,0,0,0,0,138
138930,0,0,0,0,0,0,138
001460,0,0,0,0,0,0,138
001465,0,0,0,0,0,0,138
001040,0,0,0,0,0,0,138
079160,0,0,0,0,0,0,138
00104K,0,0,0,0,0,0,138
006360,0,0,0,0,0,0,138
001250,0,0,0,0,0,0,138
007070,0,0,0,0,0,0,138
078935,0,0,0,0,0,0,138
499790,0,0,0,0,0,0,128
012630,0,0,0,0,0,0,138
039570,0,0,0,0,0,0,138
089470,0,0,0,0,0,0,138
294870,0,0,0,0,0,0,138
009540,0,0,0,0,0,0,138
014790,0,0,0,0,0,0,138
003580,0,0,0,0,0,0,138
204320,0,0,0,0,0,0,138
060980,0,0,0,0,0,0,138
011200,0,0,0,0,0,0,138
035000,0,0,0,0,0,0,138
002460,0,0,0,0,0,0,138
487570,0,0,0,0,0,0,138
298050,0,0,0,0,0,0,138
015360,0,0,0,0,0,0,138
000120,0,0,0,0,0,0,138
011150,0,0,0,0,0,0,138
011155,0,0,0,0,0,0,138
001045,0,0,0,0,0,0,138
097950,0,0,0,0,0,0,138
097955,0,0,0,0,0,0,138
000480,0,0,0,0,0,0,138
000590,0,0,0,0,0,0,138
012030,0,0,0,0,0,0,138
005830,0,0,0,0,0,0,138
175330,0,0,0,0,0,0,138
234080,0,0,0,0,0,0,138
001060,0,0,0,0,0,0,138
001067,0,0,0,0,0,0,138
001065,0,0,0,0,0,0,138
096760,0,0,0,0,0,0,138
105560,0,0,0,0,0,0,138
415640,0,0,0,0,0,0,138
432320,0,0,0,0,0,0,138
002380,0,0,0,0,0,0,138
155660,0,0,0,0,0,0,138
069730,0,0,0,0,0,0,138
017860,0,0,0,0,0,0,138
092780,0,0,0,0,0,0,138
017940,0,0,0,0,0,0,138
365550,0,0,0,0,0,0,138
383220,0,0,0,0,0,0,138
007700,0,0,0,0,0,0,138
114090,0,0,0,0,0,0,138
078930,0,0,0,0,0,0,138
079550,0,0,0,0,0,0,138
006260,0,0,0,0,0,0,138
010120,0,0,0,0,0,0,138
000680,0,0,0,0,0,0,138
229640,0,0,0,0,0,0,138
108320,0,0,0,0,0,0,138
001120,0,0,0,0,0,0,138
108670,0,0,0,0,0,0,138
108675,0,0,0,0,0,0,138
383800,0,0,0,0,0,0,138
064400,0,0,0,0,0,0,103
373220,0,0,0,0,0,0,138
003555,0,0,0,0,0,0,138
032640,0,0,0,0,0,0,138
011070,0,0,0,0,0,0,138
066570,0,0,0,0,0,0,138
066575,0,0,0,0,0,0,138
037560,0,0,0,0,0,0,138
051910,0,0,0,0,0,0,138
051915,0,0,0,0,0,0,138
044450,0,0,0,0,0,0,138
030200,0,0,0,0,0,0,138
033780,0,0,0,0,0,0,138
058850,0,0,0,0,0,0,138
058860,0,0,0,0,0,0,138
093050,0,0,0,0,0,0,138
003550,0,0,0,0,0,0,138
034220,0,0,0,0,0,0,138
051900,0,0,0,0,0,0,138
051905,0,0,0,0,0,0,138
034120,0,0,0,0,0,0,138
003080,0,0,0,0,0,0,138
005090,0,0,0,0,0,0,138
001380,0,0,0,0,0,0,138
004060,0,0,0,0,0,0,138
001770,0,0,0,0,0,0,138
002360,0,0,0,0,0,0,138
009160,0,0,0,0,0,0,138
033530,0,0,0,0,0,0,138
123700,0,0,0,0,0,0,138
344820,0,0,0,0,0,0,138
009070,0,0,0,0,0,0,138
092220,0,0,0,0,0,0,138
003620,0,0,0,0,0,0,138
016380,0,0,0,0,0,0,138
001390,0,0,0,0,0,0,138
001940,0,0,0,0,0,0,138
025000,0,0,0,0,0,0,138
092230,0,0,0,0,0,0,138
000040,0,0,0,0,0,0,138
025530,0,0,0,0,0,0,138
034730,0,0,0,0,0,0,138
011790,0,0,0,0,0,0,138
018670,0,0,0,0,0,0,138
001740,0,0,0,0,0,0,138
006120,0,0,0,0,0,0,138
006125,0,0,0,0,0,0,138
210980,0,0,0,0,0,0,138
395400,0,0,0,0,0,0,138
302440,0,0,0,0,0,0,138
38380K,0,0,0,0,0,0,138
023150,0,0,0,0,0,0,138
035420,0,0,0,0,0,0,138
181710,0,0,0,0,0,0,138
400760,0,0,0,0,0,0,138
005940,0,0,0,0,0,0,138
005945,0,0,0,0,0,0,138
338100,0,0,0,0,0,0,138
034310,0,0,0,0,0,0,138
030190,0,0,0,0,0,0,138
008260,0,0,0,0,0,0,138
004250,0,0,0,0,0,0,138
004255,0,0,0,0,0,0,138
456040,0,0,0,0,0,0,138
010060,0,0,0,0,0,0,138
178920,0,0,0,0,0,0,138
001340,0,0,0,0,0,0,138
005490,0,0,0,0,0,0,138
010950,0,0,0,0,0,0,138
010955,0,0,0,0,0,0,138
285130,0,0,0,0,0,0,138
28513K,0,0,0,0,0,0,138
017670,0,0,0,0,0,0,138
000660,0,0,0,0,0,0,138
003570,0,0,0,0,0,0,138
064960,0,0,0,0,0,0,138
100840,0,0,0,0,0,0,138
036530,0,0,0,0,0,0,138
005610,0,0,0,0,0,0,138
465770,0,0,0,0,0,0,138
326030,0,0,0,0,0,0,138
402340,0,0,0,0,0,0,138
361610,0,0,0,0,0,0,138
100090,0,0,0,0,0,0,138
03473K,0,0,0,0,0,0,138
096770,0,0,0,0,0,0,138
096775,0,0,0,0,0,0,138
475150,0,0,0,0,0,0,138
001510,0,0,0,0,0,0,138
001515,0,0,0,0,0,0,138
077970,0,0,0,0,0,0,138
002820,0,0,0,0,0,0,138
084870,0,0,0,0,0,0,138
002710,0,0,0,0,0,0,138
069260,0,0,0,0,0,0,138
007980,0,0,0,0,0,0,138
002900,0,0,0,0,0,0,138
024070,0,0,0,0,0,0,138
037270,0,0,0,0,0,0,138
139130,0,0,0,0,0,0,138
000500,0,0,0,0,0,0,138
000860,0,0,0,0,0,0,138
035250,0,0,0,0,0,0,138
011420,0,0,0,0,0,0,138
002100,0,0,0,0,0,0,138
009450,0,0,0,0,0,0,138
267290,0,0,0,0,0,0,138
012320,0,0,0,0,0,0,138
000050,0,0,0,0,0,0,138
214390,0,0,0,0,0,0,138
012610,0,0,0,0,0,0,138
009140,0,0,0,0,0,0,138
013580,0,0,0,0,0,0,138
012200,0,0,0,0,0,0,138
012205,0,0,0,0,0,0,138
002140,0,0,0,0,0,0,138
010130,0,0,0,0,0,0,138
002240,0,0,0,0,0,0,138
009290,0,0,0,0,0,0,138
017040,0,0,0,0,0,0,138
008870,0,0,0,0,0,0,138
002990,0,0,0,0,0,0,138
002995,0,0,0,0,0,0,138
011780,0,0,0,0,0,0,138
011785,0,0,0,0,0,0,138
214330,0,0,0,0,0,0,138
001210,0,0,0,0,0,0,138
073240,0,0,0,0,0,0,138
092440,0,0,0,0,0,0,138
000270,0,0,0,0,0,0,138
024110,0,0,0,0,0,0,138
013700,0,0,0,0,0,0,138
004540,0,0,0,0,0,0,138
004545,0,0,0,0,0,0,138
001260,0,0,0,0,0,0,138
008350,0,0,0,0,0,0,138
008355,0,0,0,0,0,0,138
004270,0,0,0,0,0,0,138
003920,0,0,0,0,0,0,138
003925,0,0,0,0,0,0,138
017900,0,0,0,0,0,0,138
037710,0,0,0,0,0,0,138
030610,0,0,0,0,0,0,138
339770,0,0,0,0,0,0,138
007690,0,0,0,0,0,0,138
002720,0,0,0,0,0,0,138
083420,0,0,0,0,0,0,138
014530,0,0,0,0,0,0,138
014280,0,0,0,0,0,0,138
014285,0,0,0,0,0,0,138
025860,0,0,0,0,0,0,138
005720,0,0,0,0,0,0,138
005725,0,0,0,0,0,0,138
002350,0,0,0,0,0,0,138
002355,0,0,0,0,0,0,138
092790,0,0,0,0,0,0,138
251270,0,0,0,0,0,0,138
090350,0,0,0,0,0,0,138
090355,0,0,0,0,0,0,138
000320,0,0,0,0,0,0,138
000325,0,0,0,0,0,0,138
006280,0,0,0,0,0,0,138
005250,0,0,0,0,0,0,138
005257,0,0,0,0,0,0,138
004370,0,0,0,0,0,0,138
072710,0,0,0,0,0,0,138
058730,0,0,0,0,0,0,138
030210,0,0,0,0,0,0,138
023590,0,0,0,0,0,0,138
145210,0,0,0,0,0,0,138
483650,0,0,0,0,0,0,31
019680,0,0,0,0,0,0,138
019685,0,0,0,0,0,0,138
006370,0,0,0,0,0,0,138
008060,0,0,0,0,0,0,138
00806K,0,0,0,0,0,0,138
353200,0,0,0,0,0,0,138
35320K,0,0,0,0,0,0,138
000490,0,0,0,0,0,0,138
005750,0,0,0,0,0,0,138
006570,0,0,0,0,0,0,138
001680,0,0,0,0,0,0,138
001685,0,0,0,0,0,0,138
084690,0,0,0,0,0,0,138
084695,0,0,0,0,0,0,138
128820,0,0,0,0,0,0,138
117580,0,0,0,0,0,0,138
016710,0,0,0,0,0,0,138
003540,0,0,0,0,0,0,138
003547,0,0,0,0,0,0,138
024890,0,0,0,0,0,0,138
002880,0,0,0,0,0,0,138
012800,0,0,0,0,0,0,138
015230,0,0,0,0,0,0,138
001070,0,0,0,0,0,0,138
006650,0,0,0,0,0,0,138
001440,0,0,0,0,0,0,138
084010,0,0,0,0,0,0,138
001790,0,0,0,0,0,0,138
001795,0,0,0,0,0,0,138
003545,0,0,0,0,0,0,138
009190,0,0,0,0,0,0,138
014160,0,0,0,0,0,0,138
047040,0,0,0,0,0,0,138
003090,0,0,0,0,0,0,138
069620,0,0,0,0,0,0,138
000430,0,0,0,0,0,0,138
006340,0,0,0,0,0,0,138
006345,0,0,0,0,0,0,138
003220,0,0,0,0,0,0,138
001130,0,0,0,0,0,0,138
003490,0,0,0,0,0,0,138
003495,0,0,0,0,0,0,138
005880,0,0,0,0,0,0,138
003830,0,0,0,0,0,0,138
016090,0,0,0,0,0,0,138
069460,0,0,0,0,0,0,138
475560,0,0,0,0,0,0,138
192080,0,0,0,0,0,0,138
012510,0,0,0,0,0,0,138
004830,0,0,0,0,0,0,138
004835,0,0,0,0,0,0,138
145720,0,0,0,0,0,0,138
002150,0,0,0,0,0,0,138
460850,0,0,0,0,0,0,138
460860,0,0,0,0,0,0,138
001230,0,0,0,0,0,0,138
023450,0,0,0,0,0,0,138
004140,0,0,0,0,0,0,138
007590,0,0,0,0,0,0,138
163560,0,0,0,0,0,0,138
004890,0,0,0,0,0,0,138
002690,0,0,0,0,0,0,138
000020,0,0,0,0,0,0,138
000150,0,0,0,0,0,0,138
000157,0,0,0,0,0,0,138
454910,0,0,0,0,0,0,138
241560,0,0,0,0,0,0,138
034020,0,0,0,0,0,0,138
000155,0,0,0,0,0,0,138
005960,0,0,0,0,0,0,138
005965,0,0,0,0,0,0,138
026960,0,0,0,0,0,0,138
102260,0,0,0,0,0,0,138
000640,0,0,0,0,0,0,138
170900,0,0,0,0,0,0,138
028100,0,0,0,0,0,0,138
001520,0,0,0,0,0,0,138
001527,0,0,0,0,0,0,138
084670,0,0,0,0,0,0,138
082640,0,0,0,0,0,0,138
001525,0,0,0,0,0,0,138
008970,0,0,0,0,0,0,138
049770,0,0,0,0,0,0,138
018500,0,0,0,0,0,0,138
006040,0,0,0,0,0,0,138
030720,0,0,0,0,0,0,138
014820,0,0,0,0,0,0,138
014825,0,0,0,0,0,0,138
111380,0,0,0,0,0,0,138
336260,0,0,0,0,0,0,138
33626K,0,0,0,0,0,0,138
33626L,0,0,0,0,0,0,138
016740,0,0,0,0,0,0,138
192650,0,0,0,0,0,0,138
024090,0,0,0,0,0,0,138
003160,0,0,0,0,0,0,138
092200,0,0,0,0,0,0,138
377190,0,0,0,0,0,0,138
013570,0,0,0,0,0,0,138
004000,0,0,0,0,0,0,138
004990,0,0,0,0,0,0,138
00499K,0,0,0,0,0,0,138
005300,0,0,0,0,0,0,138
005305,0,0,0,0,0,0,138
011170,0,0,0,0,0,0,138
071840,0,0,0,0,0,0,138
027740,0,0,0,0,0,0,138
357430,0,0,0,0,0,0,138
001080,0,0,0,0,0,0,138
024900,0,0,0,0,0,0,138
210540,0,0,0,0,0,0,138
032350,0,0,0,0,0,0,138
089860,0,0,0,0,0,0,138
330590,0,0,0,0,0,0,138
000400,0,0,0,0,0,0,138
023530,0,0,0,0,0,0,138
020150,0,0,0,0,0,0,138
280360,0,0,0,0,0,0,138
286940,0,0,0,0,0,0,138
009680,0,0,0,0,0,0,138
009580,0,0,0,0,0,0,138
009200,0,0,0,0,0,0,138
033920,0,0,0,0,0,0,138
008420,0,0,0,0,0,0,138
007120,0,0,0,0,0,0,138
396690,0,0,0,0,0,0,138
357250,0,0,0,0,0,0,138
085620,0,0,0,0,0,0,138
006800,0,0,0,0,0,0,138
088980,0,0,0,0,0,0,138
094800,0,0,0,0,0,0,138
138040,0,0,0,0,0,0,138
090370,0,0,0,0,0,0,138
118000,0,0,0,0,0,0,138
017180,0,0,0,0,0,0,138
009900,0,0,0,0,0,0,138
012690,0,0,0,0,0,0,138
005360,0,0,0,0,0,0,138
070960,0,0,0,0,0,0,138
00680K,0,0,0,0,0,0,138
006805,0,0,0,0,0,0,138
081660,0,0,0,0,0,0,138
002840,0,0,0,0,0,0,138
268280,0,0,0,0,0,0,138
107590,0,0,0,0,0,0,138
134380,0,0,0,0,0,0,138
003650,0,0,0,0,0,0,138
377740,0,0,0,0,0,0,138
003610,0,0,0,0,0,0,138
002070,0,0,0,0,0,0,138
100220,0,0,0,0,0,0,138
090460,0,0,0,0,0,0,138
005180,0,0,0,0,0,0,138
003960,0,0,0,0,0,0,138
008040,0,0,0,0,0,0,138
007160,0,0,0,0,0,0,138
014710,0,0,0,0,0,0,138
006090,0,0,0,0,0,0,138
062040,0,0,0,0,0,0,138
035150,0,0,0,0,0,0,138
007210,0,0,0,0,0,0,138
002760,0,0,0,0,0,0,138
003850,0,0,0,0,0,0,138
000890,0,0,0,0,0,0,138
003000,0,0,0,0,0,0,138
001270,0,0,0,0,0,0,138
001275,0,0,0,0,0,0,138
026940,0,0,0,0,0,0,138
011390,0,0,0,0,0,0,138
000815,0,0,0,0,0,0,138
006110,0,0,0,0,0,0,138
145990,0,0,0,0,0,0,138
145995,0,0,0,0,0,0,138
003230,0,0,0,0,0,0,138
002170,0,0,0,0,0,0,138
272550,0,0,0,0,0,0,138
000070,0,0,0,0,0,0,138
000075,0,0,0,0,0,0,138
003720,0,0,0,0,0,0,138
028050,0,0,0,0,0,0,138
448730,0,0,0,0,0,0,138
006400,0,0,0,0,0,0,138
006405,0,0,0,0,0,0,138
006660,0,0,0,0,0,0,138
028260,0,0,0,0,0,0,138
02826K,0,0,0,0,0,0,138
207940,0,0,0,0,0,0,138
032830,0,0,0,0,0,0,138
018260,0,0,0,0,0,0,138
009150,0,0,0,0,0,0,138
009155,0,0,0,0,0,0,138
005930,0,0,0,0,0,0,138
005935,0,0,0,0,0,0,138
001360,0,0,0,0,0,0,138
010140,0,0,0,0,0,0,138
016360,0,0,0,0,0,0,138
068290,0,0,0,0,0,0,138
029780,0,0,0,0,0,0,138
000810,0,0,0,0,0,0,138
002810,0,0,0,0,0,0,138
005680,0,0,0,0,0,0,138
023000,0,0,0,0,0,0,138
002450,0,0,0,0,0,0,138
004440,0,0,0,0,0,0,138
